ÔÂ·Ý,Climate deterioration: (È«Çò)
2014/9/1,0
2014/10/1,0
2014/11/1,0
2014/12/1,0
2015/1/1,0
2015/2/1,0
2015/3/1,0
2015/4/1,0
2015/5/1,0
2015/6/1,0
2015/7/1,0
2015/8/1,0
2015/9/1,55
2015/10/1,0
2015/11/1,56
2015/12/1,0
2016/1/1,82
2016/2/1,77
2016/3/1,0
2016/4/1,0
2016/5/1,0
2016/6/1,0
2016/7/1,0
2016/8/1,0
2016/9/1,0
2016/10/1,0
2016/11/1,0
2016/12/1,0
2017/1/1,0
2017/2/1,0
2017/3/1,0
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0
2017/9/1,0
2017/10/1,0
2017/11/1,0
2017/12/1,0
2018/1/1,0
2018/2/1,0
2018/3/1,0
2018/4/1,0
2018/5/1,58
2018/6/1,0
2018/7/1,0
2018/8/1,0
2018/9/1,0
2018/10/1,0
2018/11/1,0
2018/12/1,0
2019/1/1,42
2019/2/1,0
2019/3/1,70
2019/4/1,55
2019/5/1,0
2019/6/1,0
2019/7/1,0
2019/8/1,0
2019/9/1,46
2019/10/1,0
2019/11/1,41
2019/12/1,0
2020/1/1,0
2020/2/1,52
2020/3/1,63
2020/4/1,53
2020/5/1,71
2020/6/1,0
2020/7/1,0
2020/8/1,0
2020/9/1,0
2020/10/1,41
2020/11/1,0
2020/12/1,0
2021/1/1,39
2021/2/1,0
2021/3/1,63
2021/4/1,39
2021/5/1,44
2021/6/1,50
2021/7/1,0
2021/8/1,0
2021/9/1,0
2021/10/1,72
2021/11/1,0
2021/12/1,0
2022/1/1,66
2022/2/1,100
2022/3/1,84
2022/4/1,96
2022/5/1,79
2022/6/1,59
2022/7/1,52
2022/8/1,0
2022/9/1,42
2022/10/1,67
2022/11/1,77
2022/12/1,52
2023/1/1,60
2023/2/1,0
2023/3/1,72
2023/4/1,0
2023/5/1,94
2023/6/1,58
2023/7/1,0
2023/8/1,0
2023/9/1,59
2023/10/1,53
2023/11/1,86
2023/12/1,0
2024/1/1,58
2024/2/1,40
2024/3/1,52
2024/4/1,78
