ÔÂ·Ý,epidemic: (È«Çò)
2014/9/1,7
2014/10/1,11
2014/11/1,8
2014/12/1,8
2015/1/1,7
2015/2/1,7
2015/3/1,6
2015/4/1,7
2015/5/1,6
2015/6/1,5
2015/7/1,4
2015/8/1,5
2015/9/1,7
2015/10/1,6
2015/11/1,6
2015/12/1,6
2016/1/1,6
2016/2/1,7
2016/3/1,7
2016/4/1,7
2016/5/1,7
2016/6/1,5
2016/7/1,4
2016/8/1,5
2016/9/1,7
2016/10/1,8
2016/11/1,7
2016/12/1,6
2017/1/1,7
2017/2/1,8
2017/3/1,8
2017/4/1,8
2017/5/1,7
2017/6/1,6
2017/7/1,6
2017/8/1,7
2017/9/1,7
2017/10/1,10
2017/11/1,9
2017/12/1,8
2018/1/1,12
2018/2/1,10
2018/3/1,8
2018/4/1,9
2018/5/1,8
2018/6/1,6
2018/7/1,6
2018/8/1,6
2018/9/1,8
2018/10/1,8
2018/11/1,8
2018/12/1,7
2019/1/1,8
2019/2/1,9
2019/3/1,9
2019/4/1,9
2019/5/1,8
2019/6/1,7
2019/7/1,7
2019/8/1,7
2019/9/1,9
2019/10/1,9
2019/11/1,9
2019/12/1,8
2020/1/1,15
2020/2/1,29
2020/3/1,100
2020/4/1,41
2020/5/1,21
2020/6/1,14
2020/7/1,14
2020/8/1,12
2020/9/1,13
2020/10/1,12
2020/11/1,10
2020/12/1,10
2021/1/1,9
2021/2/1,10
2021/3/1,9
2021/4/1,10
2021/5/1,12
2021/6/1,8
2021/7/1,7
2021/8/1,8
2021/9/1,8
2021/10/1,8
2021/11/1,9
2021/12/1,9
2022/1/1,11
2022/2/1,11
2022/3/1,11
2022/4/1,11
2022/5/1,9
2022/6/1,8
2022/7/1,8
2022/8/1,8
2022/9/1,10
2022/10/1,9
2022/11/1,10
2022/12/1,8
2023/1/1,9
2023/2/1,10
2023/3/1,9
2023/4/1,10
2023/5/1,10
2023/6/1,8
2023/7/1,7
2023/8/1,8
2023/9/1,9
2023/10/1,9
2023/11/1,9
2023/12/1,8
2024/1/1,8
2024/2/1,9
2024/3/1,9
2024/4/1,9
