ÔÂ·Ý,Russia Ukraine: (È«Çò)
2014/9/1,1
2014/10/1,0
2014/11/1,1
2014/12/1,1
2015/1/1,1
2015/2/1,1
2015/3/1,1
2015/4/1,0
2015/5/1,0
2015/6/1,0
2015/7/1,0
2015/8/1,0
2015/9/1,0
2015/10/1,0
2015/11/1,0
2015/12/1,0
2016/1/1,0
2016/2/1,0
2016/3/1,0
2016/4/1,0
2016/5/1,0
2016/6/1,0
2016/7/1,0
2016/8/1,0
2016/9/1,0
2016/10/1,0
2016/11/1,0
2016/12/1,0
2017/1/1,0
2017/2/1,0
2017/3/1,0
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0
2017/9/1,0
2017/10/1,0
2017/11/1,0
2017/12/1,0
2018/1/1,0
2018/2/1,0
2018/3/1,0
2018/4/1,0
2018/5/1,0
2018/6/1,0
2018/7/1,0
2018/8/1,0
2018/9/1,0
2018/10/1,0
2018/11/1,1
2018/12/1,0
2019/1/1,0
2019/2/1,0
2019/3/1,0
2019/4/1,0
2019/5/1,0
2019/6/1,0
2019/7/1,0
2019/8/1,0
2019/9/1,0
2019/10/1,0
2019/11/1,0
2019/12/1,0
2020/1/1,0
2020/2/1,0
2020/3/1,0
2020/4/1,0
2020/5/1,0
2020/6/1,0
2020/7/1,0
2020/8/1,0
2020/9/1,0
2020/10/1,0
2020/11/1,0
2020/12/1,0
2021/1/1,0
2021/2/1,0
2021/3/1,0
2021/4/1,1
2021/5/1,0
2021/6/1,0
2021/7/1,0
2021/8/1,0
2021/9/1,0
2021/10/1,0
2021/11/1,1
2021/12/1,2
2022/1/1,8
2022/2/1,100
2022/3/1,58
2022/4/1,18
2022/5/1,12
2022/6/1,8
2022/7/1,6
2022/8/1,6
2022/9/1,7
2022/10/1,8
2022/11/1,6
2022/12/1,4
2023/1/1,5
2023/2/1,6
2023/3/1,5
2023/4/1,4
2023/5/1,4
2023/6/1,5
2023/7/1,4
2023/8/1,3
2023/9/1,3
2023/10/1,3
2023/11/1,2
2023/12/1,2
2024/1/1,2
2024/2/1,2
2024/3/1,2
2024/4/1,2
