ÔÂ·Ý,taiwan: (È«Çò)
2014/9/1,22
2014/10/1,22
2014/11/1,22
2014/12/1,21
2015/1/1,22
2015/2/1,35
2015/3/1,24
2015/4/1,23
2015/5/1,21
2015/6/1,24
2015/7/1,25
2015/8/1,26
2015/9/1,23
2015/10/1,23
2015/11/1,23
2015/12/1,23
2016/1/1,25
2016/2/1,29
2016/3/1,23
2016/4/1,22
2016/5/1,24
2016/6/1,22
2016/7/1,24
2016/8/1,22
2016/9/1,25
2016/10/1,22
2016/11/1,22
2016/12/1,27
2017/1/1,22
2017/2/1,22
2017/3/1,24
2017/4/1,24
2017/5/1,23
2017/6/1,23
2017/7/1,24
2017/8/1,24
2017/9/1,24
2017/10/1,24
2017/11/1,23
2017/12/1,23
2018/1/1,23
2018/2/1,28
2018/3/1,25
2018/4/1,24
2018/5/1,24
2018/6/1,23
2018/7/1,25
2018/8/1,25
2018/9/1,26
2018/10/1,26
2018/11/1,25
2018/12/1,24
2019/1/1,24
2019/2/1,25
2019/3/1,25
2019/4/1,25
2019/5/1,26
2019/6/1,25
2019/7/1,26
2019/8/1,28
2019/9/1,27
2019/10/1,30
2019/11/1,26
2019/12/1,25
2020/1/1,28
2020/2/1,27
2020/3/1,30
2020/4/1,32
2020/5/1,28
2020/6/1,28
2020/7/1,28
2020/8/1,30
2020/9/1,30
2020/10/1,28
2020/11/1,26
2020/12/1,26
2021/1/1,27
2021/2/1,25
2021/3/1,26
2021/4/1,31
2021/5/1,33
2021/6/1,29
2021/7/1,29
2021/8/1,30
2021/9/1,29
2021/10/1,39
2021/11/1,29
2021/12/1,30
2022/1/1,31
2022/2/1,47
2022/3/1,39
2022/4/1,34
2022/5/1,36
2022/6/1,35
2022/7/1,38
2022/8/1,79
2022/9/1,40
2022/10/1,35
2022/11/1,33
2022/12/1,33
2023/1/1,34
2023/2/1,38
2023/3/1,38
2023/4/1,46
2023/5/1,38
2023/6/1,40
2023/7/1,41
2023/8/1,38
2023/9/1,38
2023/10/1,37
2023/11/1,35
2023/12/1,35
2024/1/1,43
2024/2/1,32
2024/3/1,34
2024/4/1,100
