ÔÂ·Ý,world war: (È«Çò)
2014/9/1,48
2014/10/1,48
2014/11/1,61
2014/12/1,47
2015/1/1,53
2015/2/1,55
2015/3/1,55
2015/4/1,58
2015/5/1,57
2015/6/1,42
2015/7/1,36
2015/8/1,36
2015/9/1,43
2015/10/1,43
2015/11/1,57
2015/12/1,46
2016/1/1,46
2016/2/1,55
2016/3/1,50
2016/4/1,52
2016/5/1,50
2016/6/1,40
2016/7/1,33
2016/8/1,31
2016/9/1,41
2016/10/1,47
2016/11/1,50
2016/12/1,44
2017/1/1,44
2017/2/1,48
2017/3/1,50
2017/4/1,70
2017/5/1,52
2017/6/1,36
2017/7/1,36
2017/8/1,38
2017/9/1,40
2017/10/1,41
2017/11/1,58
2017/12/1,45
2018/1/1,44
2018/2/1,44
2018/3/1,47
2018/4/1,54
2018/5/1,48
2018/6/1,35
2018/7/1,32
2018/8/1,32
2018/9/1,35
2018/10/1,41
2018/11/1,55
2018/12/1,38
2019/1/1,37
2019/2/1,44
2019/3/1,43
2019/4/1,59
2019/5/1,46
2019/6/1,37
2019/7/1,28
2019/8/1,29
2019/9/1,34
2019/10/1,38
2019/11/1,42
2019/12/1,35
2020/1/1,100
2020/2/1,43
2020/3/1,55
2020/4/1,59
2020/5/1,51
2020/6/1,37
2020/7/1,30
2020/8/1,31
2020/9/1,32
2020/10/1,32
2020/11/1,34
2020/12/1,33
2021/1/1,34
2021/2/1,34
2021/3/1,33
2021/4/1,36
2021/5/1,35
2021/6/1,27
2021/7/1,26
2021/8/1,27
2021/9/1,28
2021/10/1,29
2021/11/1,30
2021/12/1,29
2022/1/1,39
2022/2/1,79
2022/3/1,65
2022/4/1,53
2022/5/1,44
2022/6/1,33
2022/7/1,27
2022/8/1,29
2022/9/1,34
2022/10/1,37
2022/11/1,42
2022/12/1,35
2023/1/1,39
2023/2/1,43
2023/3/1,43
2023/4/1,39
2023/5/1,37
2023/6/1,28
2023/7/1,29
2023/8/1,28
2023/9/1,29
2023/10/1,42
2023/11/1,39
2023/12/1,37
2024/1/1,38
2024/2/1,42
2024/3/1,41
2024/4/1,36
